param_value,comparison,accuracy_diff_mean,accuracy_diff_std,accuracy_wins,macro_f1_diff_mean,macro_f1_diff_std,macro_f1_wins,bear_f1_diff_mean,bear_f1_diff_std,bear_f1_wins,bull_f1_diff_mean,bull_f1_diff_std,bull_f1_wins,experiment
0.95,PELT vs HMM,0.08597210828547991,0.20255145742467734,0.4,0.009669935032477624,0.10488404383125684,0.3,-0.056601204748505274,0.16229709066210687,0.4,0.07594107481346044,0.2569044851490328,0.4,Regime Persistence
0.99,PELT vs GMM,-0.043191140278917135,0.24110406605867166,0.4,-0.049421831117921464,0.21022578619805685,0.4,0.002257659533159459,0.17171914892953039,0.7,-0.1011013217690024,0.35950069826005815,0.3,Regime Persistence
0.99,PELT vs HMM,-0.037489745693191114,0.2315168113063167,0.4,-0.04371960081482949,0.2197929871580321,0.4,0.01808750050358508,0.20418154817903697,0.5,-0.10552670213324404,0.32005120295111267,0.3,Regime Persistence
17.0,PELT vs GMM,0.014191960623461864,0.2434242470197761,0.4,-0.054264089725008825,0.17015401345856773,0.3,-0.09379369547762688,0.19256463063288884,0.3,-0.014734483972390754,0.3580147371388133,0.5,VIX Signal
17.0,PELT vs HMM,0.06300246103363415,0.24450342663448002,0.4,0.0128212865018608,0.16342969682963387,0.4,0.01867197098047508,0.08154052876465337,0.4,0.006970602023246575,0.33813033656835606,0.4,VIX Signal
20.0,PELT vs GMM,0.0010664479081214262,0.25479036563809915,0.4,-0.03401365664575291,0.20407791712113751,0.2,-0.05325847101246106,0.1955596427928403,0.4,-0.014768842279044781,0.3561503781547479,0.4,VIX Signal
20.0,PELT vs HMM,-0.03822805578342907,0.260084205884789,0.5,-0.06486007220841457,0.2122100919863065,0.3,-0.04662701660231052,0.21810614625328323,0.5,-0.08309312781451862,0.3523016604492792,0.5,VIX Signal
25.0,PELT vs GMM,-0.013248564397046742,0.27624163424441706,0.4,-0.04667886919031469,0.21745203475820832,0.3,-0.03279872241726174,0.20413120807887358,0.3,-0.06055901596336766,0.36714562545851875,0.4,VIX Signal
25.0,PELT vs HMM,0.020385561936013097,0.2535457299349966,0.5,-0.016197534722259415,0.21296266282977439,0.5,-0.008937814508758427,0.1464083518378442,0.3,-0.023457254935760386,0.32139604952081713,0.5,VIX Signal
30.0,PELT vs GMM,-0.022436423297785068,0.2750097295277521,0.4,-0.033769084392493896,0.22672481737084133,0.4,-0.005384264394944252,0.1618982231031982,0.5,-0.062153904390043535,0.3642934140897756,0.4,VIX Signal
30.0,PELT vs HMM,-0.01792452830188678,0.23409463023056754,0.4,-0.03927139574661485,0.20750035418714086,0.4,-0.01854037166587087,0.15280680141211536,0.4,-0.06000241982735882,0.299892346577371,0.4,VIX Signal
40.0,PELT vs GMM,-0.002461033634126325,0.27665996627130796,0.5,0.00156620974004677,0.2429921659082435,0.5,0.062229141153499104,0.17974486691234529,0.6,-0.05909672167340554,0.3526996544333092,0.5,VIX Signal
40.0,PELT vs HMM,-0.04179655455291222,0.2555070020734146,0.4,-0.04490245564249383,0.25102267001865886,0.4,0.004417398611132895,0.24026309503751234,0.5,-0.0942223098961205,0.29412494407703865,0.4,VIX Signal
